Time,HandRight.Y,Beat
17.551,-0.28,0.00
17.587,-0.3,0.00
17.614,-0.32,0.00
17.652,-0.33,0.00
17.684,-0.34,0.00
17.714,-0.34,0.00
17.755,-0.35,1.00
17.781,-0.35,0.00
17.814,-0.33,0.00
17.85,-0.31,0.00
17.882,-0.28,0.00
17.913,-0.25,0.00
17.949,-0.22,0.00
17.982,-0.19,0.00
18.014,-0.16,0.00
18.052,-0.13,0.00
18.083,-0.1,0.00
18.114,-0.07,0.00
18.15,-0.04,0.00
18.182,-0.01,0.00
18.22,0.01,0.00
18.252,0.05,0.00
18.285,0.07,0.00
18.309,0.09,0.00
18.345,0.12,0.00
18.377,0.14,0.00
18.411,0.16,0.00
18.451,0.18,0.00
18.482,0.2,0.00
18.514,0.21,0.00
18.551,0.24,0.00
18.582,0.26,0.00
18.618,0.27,0.00
18.65,0.29,0.00
18.685,0.3,0.00
18.717,0.32,0.00
18.756,0.33,0.00
18.783,0.34,0.00
18.819,0.35,0.00
18.85,0.35,0.00
18.882,0.36,1.00
18.923,0.36,0.00
18.951,0.35,0.00
18.983,0.34,0.00
19.018,0.33,0.00
19.049,0.31,0.00
19.083,0.29,0.00
19.118,0.26,0.00
19.156,0.24,0.00
19.182,0.21,0.00
19.217,0.18,0.00
19.25,0.15,0.00
19.281,0.12,0.00
19.318,0.08,0.00
19.35,0.06,0.00
19.383,,0.00
19.419,,0.00
19.449,-0.05,0.00
19.482,-0.08,0.00
19.517,-0.14,0.00
19.55,-0.13,0.00
19.581,-0.18,0.00
19.622,-0.2,0.00
19.649,-0.23,0.00
19.682,-0.26,0.00
19.717,-0.28,0.00
19.75,-0.3,0.00
19.785,-0.31,0.00
19.817,-0.32,1.00
19.852,-0.32,1.00
19.887,-0.32,1.00
19.918,-0.32,0.00
19.95,-0.32,0.00
19.986,-0.3,0.00
20.018,-0.29,0.00
20.05,-0.27,0.00
20.087,-0.25,0.00
20.117,-0.23,0.00
20.15,-0.2,0.00
20.187,-0.18,0.00
20.22,-0.14,0.00
20.25,-0.12,0.00
20.286,-0.09,0.00
20.323,-0.06,0.00
20.349,-0.03,0.00
20.386,-0.01,0.00
20.417,0.02,0.00
20.449,0.05,0.00
20.486,0.08,0.00
20.518,0.1,0.00
20.552,0.13,0.00
20.588,0.15,0.00
20.62,0.18,0.00
20.647,0.2,0.00
20.681,0.22,0.00
20.714,0.24,0.00
20.745,0.26,0.00
20.789,0.28,0.00
20.818,0.29,0.00
20.851,0.31,0.00
20.883,0.32,0.00
20.915,0.33,0.00
20.951,0.33,0.00
20.984,0.34,0.00
21.019,0.34,1.00
21.052,0.34,0.00
21.084,0.33,0.00
21.118,0.31,0.00
21.151,0.29,0.00
21.183,0.26,0.00
21.215,0.23,0.00
21.254,0.2,0.00
21.282,0.15,0.00
21.315,0.12,0.00
21.351,0.08,0.00
21.384,0.05,0.00
21.42,,0.00
21.454,-0.02,0.00
21.491,-0.06,0.00
21.518,-0.08,0.00
21.555,-0.11,0.00
21.585,-0.12,0.00
21.618,-0.17,0.00
21.654,-0.18,0.00
21.684,-0.22,0.00
21.719,-0.24,0.00
21.752,-0.27,0.00
21.784,-0.29,0.00
21.816,-0.3,0.00
21.852,-0.32,0.00
21.885,-0.33,0.00
21.916,-0.34,0.00
21.959,-0.34,1.00
