Time,HipCenter.X,HipCenter.Y,HipCenter.Z,Spine.X,Spine.Y,Spine.Z,ShoulderCenter.X,ShoulderCenter.Y,ShoulderCenter.Z,Head.X,Head.Y,Head.Z,ShoulderLeft.X,ShoulderLeft.Y,ShoulderLeft.Z,ElbowLeft.X,ElbowLeft.Y,ElbowLeft.Z,WristLeft.X,WristLeft.Y,WristLeft.Z,HandLeft.X,HandLeft.Y,HandLeft.Z,ShoulderRight.X,ShoulderRight.Y,ShoulderRight.Z,ElbowRight.X,ElbowRight.Y,ElbowRight.Z,WristRight.X,WristRight.Y,WristRight.Z,HandRight.X,HandRight.Y,HandRight.Z,HipLeft.X,HipLeft.Y,HipLeft.Z,KneeLeft.X,KneeLeft.Y,KneeLeft.Z,AnkleLeft.X,AnkleLeft.Y,AnkleLeft.Z,FootLeft.X,FootLeft.Y,FootLeft.Z,HipRight.X,HipRight.Y,HipRight.Z,KneeRight.X,KneeRight.Y,KneeRight.Z,AnkleRight.X,AnkleRight.Y,AnkleRight.Z,FootRight.X,FootRight.Y,FootRight.Z
0.664,0.05106649,-0.01025742,1.65709,0.05479955,0.05525956,1.653526,0.04831353,0.3575062,1.542288,0.02287392,0.5425969,1.504205,-0.1173247,0.2620799,1.638924,-0.1272707,0.03890646,1.723493,-0.1160855,-0.1819758,1.601913,-0.09364489,-0.2517268,1.553395,0.2082125,0.2447629,1.566144,0.2860855,0.05058804,1.676509,0.2620244,-0.1723037,1.655136,0.2192392,-0.2238431,1.598251,-0.02232638,-0.08368199,1.691001,-0.03509207,-0.5169687,1.706143,,,,,,,0.1261335,-0.07798497,1.663999,0.1814915,-0.4806108,1.650747,,,,,,
0.696,0.04997429,-0.0363362,1.662181,0.05314611,0.02952828,1.656525,0.04736242,0.3287312,1.546033,0.01889963,0.5281411,1.51969,-0.1169565,0.2323956,1.640899,-0.1284025,-0.0004317909,1.718781,-0.1144678,-0.2009284,1.600587,-0.08915379,-0.2708433,1.553522,0.20456,0.2187091,1.572727,0.2725778,0.0001318455,1.659894,0.2578526,-0.1866654,1.650823,0.211036,-0.2343308,1.59355,-0.02265811,-0.1048688,1.694203,-0.03108494,-0.5275474,1.70389,,,,,,,0.1236242,-0.1077914,1.670863,0.1713223,-0.5035539,1.645155,,,,,,
0.728,0.04901455,-0.04854262,1.669884,0.05135949,0.01603135,1.662462,0.04544426,0.3126451,1.551873,0.01654394,0.5046778,1.539032,-0.1226699,0.2061653,1.645771,-0.1368207,-0.03069742,1.724039,-0.1115663,-0.2153978,1.577242,-0.08148369,-0.2827921,1.527014,0.2048676,0.2068834,1.579057,0.2793188,-0.01686825,1.660738,0.2341112,-0.1896009,1.577431,0.2062908,-0.2473455,1.539788,-0.02472113,-0.1207216,1.703158,-0.03023109,-0.5340818,1.706255,,,,,,,0.123866,-0.1205993,1.680095,0.1658314,-0.5130249,1.643741,,,,,,
0.764,0.04996514,-0.05213463,1.675665,0.05176468,0.01205345,1.666411,0.04547375,0.309024,1.555871,0.01544193,0.5026628,1.545323,-0.1231303,0.2053333,1.646779,-0.1542961,-0.0285334,1.713554,-0.1159624,-0.1968349,1.507569,-0.07643542,-0.2639273,1.450696,0.2056976,0.2045795,1.58224,0.3010044,-0.02191869,1.640122,0.2439409,-0.1750463,1.527435,0.1860274,-0.2029999,1.465372,-0.02399971,-0.1242655,1.708236,-0.02653074,-0.5402025,1.714772,,,,,,,0.125694,-0.1246904,1.687398,0.1628474,-0.5164295,1.645149,,,,,,
0.804,0.04874213,-0.04645377,1.679481,0.05052599,0.01747897,1.669426,0.0457897,0.3169469,1.563252,0.0147145,0.5097761,1.5557,-0.1252896,0.2138468,1.649509,-0.1891092,0.01005749,1.677791,-0.1309437,-0.1201252,1.448878,-0.09239605,-0.1663132,1.421464,0.2062642,0.2089034,1.585241,0.3217475,0.01379532,1.605301,0.2523928,-0.1188606,1.473292,0.1921245,-0.129416,1.408048,-0.02533402,-0.1195551,1.711829,-0.02113795,-0.5392947,1.728002,,,,,,,0.124249,-0.1197696,1.68997,0.1561239,-0.5163124,1.649031,,,,,,
0.833,0.04747385,0.00838691,1.678944,0.04888333,0.07130685,1.670963,0.04396395,0.3703848,1.580773,0.01205188,0.5487414,1.570089,-0.1354312,0.2702886,1.654503,-0.2025196,0.06544252,1.66832,-0.1609417,-0.008993387,1.411706,-0.1248335,-0.05148414,1.376015,0.2116172,0.2614565,1.592097,0.3402863,0.0870341,1.584754,0.2950691,-0.06489938,1.465247,0.1664458,-0.01399301,1.323536,-0.02643298,-0.06936931,1.712184,-0.003932205,-0.474858,1.748546,,,,,,,0.1228798,-0.06847047,1.682717,0.1515584,-0.4538791,1.685347,,,,,,
0.87,0.04409847,0.0646585,1.675727,0.04409914,0.1260545,1.669447,0.03434585,0.4211879,1.593645,0.006084647,0.5920563,1.556506,-0.1466126,0.3206068,1.654356,-0.2084152,0.145155,1.67199,-0.1630313,0.06439939,1.420107,-0.1098347,0.06483419,1.379057,0.2164366,0.3193367,1.594132,0.3521299,0.1524278,1.575428,,,,0.1956576,0.07841779,1.318454,-0.03121234,-0.01767125,1.70461,-0.004464197,-0.4485524,1.752468,,,,,,,0.1238481,-0.01528207,1.678928,0.153153,-0.3977908,1.694476,,,,,,
0.898,0.05032251,0.1352901,1.665384,0.05219527,0.1960156,1.660379,0.05307775,0.491145,1.596418,-0.01509136,0.6374013,1.5352,-0.1479436,0.3979662,1.651011,-0.2350948,0.2331586,1.657779,-0.2058549,0.1465098,1.407694,-0.1482497,0.1483438,1.344861,0.2201688,0.3908887,1.593402,0.3578068,0.2416276,1.567452,0.2225809,0.1894393,1.34555,0.1682311,0.1758395,1.308646,-0.02973449,0.05060015,1.691921,-0.01526752,-0.3867016,1.763749,-0.001209613,-0.7068795,1.909263,-0.01177975,-0.7741085,1.85662,0.1290978,0.05444575,1.665518,0.1627101,-0.3468519,1.700522,,,,,,
0.93,0.04945207,0.2186017,1.650391,0.05084972,0.2702879,1.646611,0.05160308,0.5097133,1.594811,,,,-0.135903,0.4843737,1.648455,-0.2671174,0.2695909,1.580366,-0.2116356,0.221129,1.394691,-0.148201,0.2284898,1.344426,0.2264287,0.4821132,1.594623,0.3600739,0.3376136,1.566459,0.230946,0.2730021,1.343785,0.1929619,0.26017,1.297391,-0.03127263,0.1374538,1.675406,-0.02116866,-0.3238347,1.778968,-0.01248867,-0.7048621,1.930251,-0.02338882,-0.7688597,1.873135,0.1295227,0.1364168,1.649584,0.1661989,-0.3231717,1.713743,0.1668314,-0.6506876,1.790024,0.1552429,-0.7069749,1.725415
0.966,0.05403777,0.2965257,1.636249,0.05729904,0.3427433,1.633286,0.06713395,0.5684991,1.589267,,,,-0.1425855,0.5692605,1.645959,-0.2629842,0.3496362,1.568055,-0.1554951,0.2950097,1.364298,-0.1463362,0.2922361,1.349733,0.2234026,0.5632437,1.592041,0.3656938,0.412904,1.565995,0.2314472,0.3372084,1.349431,0.198654,0.3294571,1.314115,-0.03051778,0.2136234,1.661188,-0.02582374,-0.2802538,1.807603,-0.02206609,-0.6885985,1.929864,-0.03360803,-0.7476335,1.866998,0.1306205,0.2138527,1.632876,0.1712321,-0.2657104,1.744166,0.171492,-0.6478957,1.798194,0.1599284,-0.6993405,1.728982
