Time,HipCenter.X,HipCenter.Y,HipCenter.Z,Spine.X,Spine.Y,Spine.Z,ShoulderCenter.X,ShoulderCenter.Y,ShoulderCenter.Z,Head.X,Head.Y,Head.Z,ShoulderLeft.X,ShoulderLeft.Y,ShoulderLeft.Z,ElbowLeft.X,ElbowLeft.Y,ElbowLeft.Z,WristLeft.X,WristLeft.Y,WristLeft.Z,HandLeft.X,HandLeft.Y,HandLeft.Z,ShoulderRight.X,ShoulderRight.Y,ShoulderRight.Z,ElbowRight.X,ElbowRight.Y,ElbowRight.Z,WristRight.X,WristRight.Y,WristRight.Z,HandRight.X,HandRight.Y,HandRight.Z,HipLeft.X,HipLeft.Y,HipLeft.Z,KneeLeft.X,KneeLeft.Y,KneeLeft.Z,AnkleLeft.X,AnkleLeft.Y,AnkleLeft.Z,FootLeft.X,FootLeft.Y,FootLeft.Z,HipRight.X,HipRight.Y,HipRight.Z,KneeRight.X,KneeRight.Y,KneeRight.Z,AnkleRight.X,AnkleRight.Y,AnkleRight.Z,FootRight.X,FootRight.Y,FootRight.Z
0.797,-0.006201567,0.1669794,1.868848,-0.0005456209,0.2347296,1.860324,0.02754826,0.5734926,1.833578,-0.04309971,0.6964219,1.695258,-0.1431588,0.4974602,1.923271,,,,,,,,,,0.1904119,0.4609621,1.814495,0.2216715,0.23003,1.746544,0.160728,0.1271504,1.529272,0.09479083,0.1572982,1.406167,-0.0867069,0.09383447,1.895412,-0.1324181,-0.3827975,1.884133,-0.1755994,-0.7407064,2.026685,-0.2169489,-0.8151346,1.960904,0.06113182,0.08303373,1.85111,0.1058605,-0.3969455,1.896541,0.08001418,-0.7515461,2.035894,,,
0.832,-0.008701604,0.1679257,1.872537,-0.002779111,0.2353773,1.863933,0.026426,0.5728399,1.837001,-0.04622728,0.7011389,1.703119,-0.1464318,0.4984909,1.926416,-0.1724719,0.2584812,1.989126,-0.2280179,0.02285976,1.952635,-0.2488659,-0.07356938,1.927646,0.1877907,0.4622134,1.817689,0.212952,0.2293475,1.703794,0.1405591,0.1517377,1.480009,0.08373749,0.2026786,1.371236,-0.0892216,0.09407984,1.899313,-0.1356254,-0.3834301,1.886482,-0.1924499,-0.7404989,2.031288,-0.2362528,-0.8136361,1.965515,0.05791055,0.08449956,1.85477,0.1059438,-0.3941284,1.899241,0.08030617,-0.7512788,2.036978,0.04234367,-0.8272043,1.970736
0.866,-0.01092055,0.1685762,1.875208,-0.005075295,0.2359504,1.866996,0.02389938,0.5728055,1.842357,-0.04652497,0.7036122,1.709224,-0.1536718,0.4976256,1.931422,-0.1805559,0.2487059,1.985989,-0.2419856,0.02296253,1.9452,-0.2583157,-0.07459543,1.921434,0.186586,0.4622933,1.819193,0.2162442,0.2284581,1.692437,0.1198516,0.1910183,1.467862,0.0774499,0.2473709,1.349263,-0.09223241,0.09368581,1.901986,-0.1449387,-0.3755024,1.89236,-0.2099246,-0.7414666,2.039453,-0.2552293,-0.8133307,1.973197,0.05641494,0.08482566,1.856674,0.1049475,-0.3918192,1.901541,0.08045313,-0.7508404,2.038231,0.04233773,-0.8266313,1.971825
0.898,-0.013279,0.1697805,1.87723,-0.007532015,0.2370801,1.869384,0.02096433,0.5734343,1.846828,-0.04880167,0.7055575,1.714253,-0.1603716,0.4973617,1.935043,-0.1997587,0.2176942,1.97711,-0.2596549,-0.076617,1.892804,-0.2622367,-0.1504207,1.878832,0.1839556,0.4680176,1.824102,0.1992421,0.2226426,1.641019,0.09493094,0.2309837,1.416591,0.0739523,0.2774778,1.341796,-0.09513947,0.09341923,1.903381,-0.1483384,-0.3748183,1.894895,-0.2235632,-0.7418894,2.045373,-0.2700479,-0.8131914,1.979246,0.05471501,0.08613619,1.858507,0.1031749,-0.3908719,1.903521,0.08044793,-0.7507017,2.039567,0.04335364,-0.8268359,1.972894
0.93,-0.01626327,0.1707491,1.878902,-0.0110628,0.2381245,1.871621,0.01418472,0.5748449,1.852595,-0.04954676,0.7078383,1.718258,-0.16571,0.4972947,1.936838,-0.2026379,0.2258919,1.975259,-0.258552,-0.04610338,1.891761,-0.2630192,-0.1422429,1.868223,0.1805663,0.4739355,1.829015,0.1946024,0.2250068,1.637253,0.09129854,0.2377545,1.41216,0.07148569,0.304576,1.341236,-0.098667,0.09327517,1.904134,-0.1513962,-0.3724374,1.89615,-0.2363736,-0.7452503,2.053586,-0.2836306,-0.8165092,1.987943,0.0531456,0.08704178,1.859885,0.1011779,-0.3874913,1.904169,0.08060765,-0.7505231,2.041157,0.04490812,-0.8272302,1.974362
0.966,-0.02132952,0.1708139,1.880366,-0.0165604,0.238384,1.873679,0.006658346,0.576438,1.857749,-0.05339734,0.7084625,1.720588,-0.1736361,0.4965634,1.938022,-0.2086894,0.2303839,1.97313,-0.2633805,-0.06199899,1.87887,-0.2637088,-0.1474052,1.856085,0.1785971,0.4762581,1.832448,0.1894762,0.2281199,1.634362,0.09205899,0.293012,1.415804,0.06936743,0.3198855,1.344589,-0.1062047,0.09133898,1.904815,-0.1524857,-0.3746523,1.897357,-0.243066,-0.7473614,2.059755,-0.2907896,-0.8193442,1.994797,0.05066523,0.08689483,1.860692,0.09861644,-0.3855067,1.904675,0.08041435,-0.7503437,2.043257,0.04609914,-0.8281062,1.976518
0.999,-0.02906756,0.1698302,1.881709,-0.02482953,0.2375185,1.875578,-0.004074418,0.576237,1.86214,-0.05668998,0.7098747,1.723001,-0.1805068,0.4956243,1.93819,,,,-0.2647351,-0.06446857,1.875395,-0.2649451,-0.1533856,1.848009,0.1775594,0.4768432,1.835102,0.1801316,0.229015,1.629106,0.08753088,0.2979644,1.40938,0.06397697,0.3361886,1.350146,-0.114566,0.08827281,1.905558,-0.1567198,-0.3754997,1.900765,-0.2474443,-0.749804,2.066582,-0.2945804,-0.8230076,2.002056,0.04475032,0.08514242,1.861343,0.09362705,-0.3832281,1.90507,0.07998821,-0.7499924,2.045394,0.04756092,-0.8290728,1.978769
1.035,-0.03699369,0.1699288,1.88217,-0.03269231,0.2376704,1.876615,-0.01167206,0.5765529,1.86561,-0.0612211,0.7135555,1.727942,-0.1906279,0.4947729,1.938745,-0.2457689,0.1961573,1.95362,-0.2700078,-0.06750695,1.869252,-0.2693906,-0.1543165,1.841371,0.1757978,0.4774207,1.839507,0.1729925,0.2290265,1.627469,0.08215729,0.3038313,1.408155,0.0607385,0.3419901,1.353126,-0.1246215,0.08642086,1.904807,-0.1648112,-0.3780539,1.907798,-0.2517321,-0.7541679,2.074955,-0.297027,-0.828917,2.010755,0.03878398,0.08408878,1.861399,0.08956692,-0.3823396,1.905968,0.07857704,-0.7506052,2.048156,0.04823354,-0.830839,1.981804
1.064,-0.04696986,0.170956,1.882347,-0.04275979,0.2387898,1.877636,-0.0225156,0.5781273,1.869556,-0.06353395,0.7161933,1.729982,-0.201081,0.4941113,1.939424,-0.2464144,0.2165068,1.956141,-0.2765951,-0.07052628,1.86393,-0.2752723,-0.1544337,1.835787,0.1703723,0.4775072,1.843943,0.1647759,0.2301391,1.628379,0.0753902,0.3098938,1.409756,0.05548115,0.3494335,1.359902,-0.1344296,0.08600345,1.903412,-0.1737881,-0.3805101,1.916959,-0.2554231,-0.7558006,2.079472,-0.2987739,-0.8313528,2.014538,0.02963082,0.08477528,1.861509,0.08029218,-0.3799131,1.906493,0.07704581,-0.7502072,2.049874,0.04962628,-0.8319851,1.98381
1.093,-0.05820107,0.1672305,1.882661,-0.05313153,0.2360881,1.878639,-0.02994384,0.5794424,1.872044,-0.06822904,0.7197014,1.73306,-0.2062168,0.4929858,1.937529,-0.2508824,0.2290207,1.952637,-0.2856092,-0.06020619,1.86294,-0.2851047,-0.1510724,1.830197,0.1607126,0.4782852,1.850136,0.1573937,0.230387,1.630601,0.06930234,0.3132641,1.412317,0.05048247,0.3523917,1.36401,-0.1452456,0.08357356,1.902208,-0.1868408,-0.3816251,1.925131,-0.2645767,-0.7581761,2.082636,-0.3055067,-0.8342373,2.016417,0.0173859,0.08068974,1.862151,0.06109715,-0.3784169,1.908386,0.07335764,-0.7507739,2.05196,,,
