Beat,BeatPortion,HandRight.Y,Time
0,0.6987295825771319,0.26,16.416
0,0.7259528130671511,0.27,16.446
0,0.7604355716878409,0.29,16.484
0,0.788566243194192,0.31,16.515
0,0.816696914700543,0.33,16.546
0,0.8511796733212328,0.34,16.584
0,0.881125226860254,0.35,16.617
0,0.9128856624319419,0.36,16.652
0,0.9401088929219579,0.36,16.682
0,0.9691470054446438,0.37,16.714
1,0.0,0.37,16.748
0,0.03277060575968001,0.37,16.781
0,0.06752730883813106,0.37,16.816
0,0.09831181727904707,0.35,16.847
0,0.13704071499503317,0.33,16.886
0,0.16385302879841063,0.3,16.913
0,0.19662363455809415,0.28,16.946
0,0.23336643495531273,0.25,16.983
0,0.26514399205561073,0.23,17.015
0,0.2979145978152907,0.2,17.048
0,0.3306852035749743,0.17,17.081
0,0.36842105263157837,0.14,17.119
0,0.3952333664349558,0.1,17.146
0,0.43197616683217444,0.06,17.183
0,0.4617676266137049,,17.213
0,0.4945382323733849,,17.246
0,0.531281032770607,-0.08,17.283
0,0.5620655412115195,-0.08,17.314
0,0.6027805362462767,-0.1,17.355
0,0.629592850049654,-0.14,17.382
0,0.6623634558093341,-0.16,17.415
0,0.6981132075471707,-0.21,17.451
0,0.7288977159880832,-0.23,17.482
0,0.7656405163853017,-0.26,17.519
0,0.7974180734855998,-0.28,17.551
0,0.8331678252234364,-0.3,17.587
0,0.8599801390268138,-0.32,17.614
0,0.8977159880834179,-0.33,17.652
0,0.9294935451837159,-0.34,17.684
0,0.9592850049652428,-0.34,17.714
1,0.0,-0.35,17.755
0,0.02307009760425887,-0.35,17.781
0,0.05235137533274261,-0.33,17.814
0,0.08429458740017942,-0.31,17.85
0,0.11268855368234443,-0.28,17.882
0,0.1401952085181907,-0.25,17.913
0,0.1721384205856275,-0.22,17.949
0,0.20141969831410808,-0.19,17.982
0,0.2298136645962731,-0.16,18.014
0,0.26353149955634425,-0.13,18.052
0,0.2910381543921905,-0.1,18.083
0,0.3185448092280399,-0.07,18.114
0,0.3504880212954736,-0.04,18.15
0,0.3788819875776386,-0.01,18.182
0,0.4125998225377097,0.01,18.22
0,0.4409937888198747,0.05,18.252
0,0.4702750665483585,0.07,18.285
